Panel,Group,n,Median [IQR]
CANCAN: HbA1c-within-participant,Low HbA1c,1707,"0.051 [0.037, 0.072]"
CANCAN: HbA1c-within-participant,High HbA1c,7752,"0.060 [0.041, 0.086]"
CANCAN: HbA1c-between-participant,Low HbA1c,46809,"0.085 [0.058, 0.135]"
CANCAN: HbA1c-between-participant,High HbA1c,1032651,"0.115 [0.076, 0.181]"
CANCAN: HbA1c-between-participant,Across HbA1c groups,450216,"0.124 [0.079, 0.186]"
CANCAN: TIR-within-participant,High TIR,3509,"0.054 [0.038, 0.073]"
CANCAN: TIR-within-participant,Low TIR,5950,"0.062 [0.041, 0.091]"
CANCAN: TIR-between-participant,High TIR,206119,"0.076 [0.056, 0.104]"
CANCAN: TIR-between-participant,Low TIR,606221,"0.113 [0.074, 0.176]"
CANCAN: TIR-between-participant,Across TIR groups,717336,"0.141 [0.090, 0.203]"
CANCAN: MAGE-within-participant,High MAGE,8750,"0.059 [0.041, 0.086]"
CANCAN: MAGE-within-participant,Low MAGE,709,"0.044 [0.031, 0.062]"
CANCAN: MAGE-between-participant,High MAGE,1310750,"0.114 [0.075, 0.178]"
CANCAN: MAGE-between-participant,Low MAGE,7676,"0.085 [0.056, 0.137]"
CANCAN: MAGE-between-participant,Across MAGE groups,211250,"0.134 [0.083, 0.198]"
